MetroArea	Binge	Asthma	HeartAt	Colonosc	Diabetes	PregDaib	PreDia	Disability	Exercise	Coverage	GeneralH	FluShot	Dentist	Teeth	BMI	PSA	Smokers	PAP
TrentonNJ	2.5	7.4	3.1	69.1	10.0	1.1	1.6	15.9	75.2	93.8	87.0	67.4	80.2	39.7	43.3	55.0	11.5	89.0
TucsonAZ	8.0	12.5	3.7	71.1	8.0	1.0	1.6	27.5	79.7	86.6	84.4	69.1	67.7	39.7	41.6	56.2	15.5	84.9
TulsaOK	3.1	9.2	5.7	59.2	10.9	1.5	1.0	25.1	70.8	80.2	79.5	73.3	56.6	48.4	33.6	46.4	24.3	77.2
TuscaloosaAL	5.2	5.4	4.1	60.6	9.3	2.7	2.0	25.7	69.0	79.8	81.7	59.5	60.8	51.8	30.8	55.0	28.5	85.3
TwinFallsID	4.0	7.6	5.3	53.8	8.3	1.3	0.4	20.8	74.6	77.3	85.2	64.0	69.0	42.7	35.7	58.3	14.0	79.5
TylerTX	5.1	9.7	4.8	75.2	8.2	0.5	1.3	19.9	74.0	76.3	85.7	65.0	67.4	46.5	39.5	59.4	21.9	73.6
VirginiaBeachVA	5.2	7.9	3.5	74.9	8.5	0.5	0.9	20.5	77.2	85.7	85.6	68.9	75.4	36.1	37.8	54.8	21.8	86.7
WarrenMI	5.4	9.6	4.7	73.4	11.2	0.2	1.1	21.1	80.6	88.4	89.1	67.1	79.4	34.9	34.4	61.7	15.0	81.8
WashingtonDC	5.0	10.2	2.0	72.7	8.7	0.3	1.0	16.1	80.7	91.3	88.4	68.3	80.9	35.1	37.8	58.1	13.0	86.4
WauchulaFL	7.9	7.9	4.1	57.4	15.4	0.6	2.2	20.3	72.8	67.0	76.2	66.8	53.8	57.4	17.6	55.0	16.0	81.9
WPalmBeachFL	6.3	7.1	4.1	73.4	9.7	1.0	0.7	19.5	77.4	89.5	85.0	73.7	74.0	52.4	39.9	72.5	8.8	74.3
WichitaFallsTX	3.1	9.8	7.1	64.0	10.4	1.1	0.3	25.0	71.4	77.1	80.9	71.2	65.2	41.9	32.9	61.3	20.3	74.8
WichitaKS	2.8	10.5	3.9	68.1	7.8	1.0	1.3	21.3	77.4	87.8	85.4	70.4	75.4	41.8	38.5	57.6	18.8	80.5
WilmingtonDE	6.0	9.6	3.5	71.2	8.2	1.2	1.2	21.8	76.5	90.2	86.6	64.0	75.8	39.3	35.5	55.4	18.1	81.7
WorcesterMA	6.3	14.0	4.2	76.2	8.3	0.7	1.0	19.7	81.0	95.9	87.7	71.0	80.4	38.6	39.1	55.6	15.6	83.6
YakimaWA	4.1	7.8	3.3	60.6	9.9	0.6	1.7	23.3	74.9	78.1	78.9	68.5	69.3	46.0	31.6	53.0	14.9	80.2
YoungstownOH	4.3	8.4	5.3	59.7	9.1	1.3	1.3	20.1	73.6	87.1	83.8	58.9	67.8	52.5	29.7	62.2	26.5	81.3
